ID,ID_Orden,Item_ID,Item,Categoria,Listo,Observacion
ORD-004-I06,ORD-004,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-004-I07,ORD-004,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-004-I08,ORD-004,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-004-I09,ORD-004,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-004-I10,ORD-004,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-004-I11,ORD-004,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-004-I12,ORD-004,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-004-I13,ORD-004,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-004-I14,ORD-004,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-004-I15,ORD-004,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-004-I16,ORD-004,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-004-I17,ORD-004,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-005-I01,ORD-005,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-005-I02,ORD-005,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-005-I03,ORD-005,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-005-I04,ORD-005,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-005-I05,ORD-005,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-005-I06,ORD-005,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-005-I07,ORD-005,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-005-I08,ORD-005,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-005-I09,ORD-005,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-005-I10,ORD-005,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-005-I11,ORD-005,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-005-I12,ORD-005,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-005-I13,ORD-005,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-005-I14,ORD-005,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-005-I15,ORD-005,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-005-I16,ORD-005,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-005-I17,ORD-005,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-006-I01,ORD-006,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-006-I02,ORD-006,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-006-I03,ORD-006,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-006-I04,ORD-006,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-006-I05,ORD-006,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-006-I06,ORD-006,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-006-I07,ORD-006,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-006-I08,ORD-006,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-006-I13,ORD-006,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-006-I14,ORD-006,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-006-I15,ORD-006,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-006-I16,ORD-006,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-006-I17,ORD-006,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-007-I01,ORD-007,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-007-I02,ORD-007,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-007-I03,ORD-007,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-007-I04,ORD-007,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-007-I05,ORD-007,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-007-I06,ORD-007,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-007-I07,ORD-007,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-007-I08,ORD-007,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-007-I13,ORD-007,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-007-I14,ORD-007,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-007-I15,ORD-007,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-007-I16,ORD-007,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-007-I17,ORD-007,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-008-I01,ORD-008,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-008-I02,ORD-008,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-008-I03,ORD-008,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-008-I04,ORD-008,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-008-I05,ORD-008,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-008-I06,ORD-008,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-008-I07,ORD-008,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-008-I08,ORD-008,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-008-I09,ORD-008,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-008-I10,ORD-008,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-008-I11,ORD-008,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-008-I12,ORD-008,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-008-I13,ORD-008,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-008-I14,ORD-008,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-008-I15,ORD-008,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-008-I16,ORD-008,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-008-I17,ORD-008,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-009-I01,ORD-009,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-009-I02,ORD-009,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-009-I03,ORD-009,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-009-I04,ORD-009,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-009-I05,ORD-009,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-009-I06,ORD-009,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-009-I07,ORD-009,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-009-I08,ORD-009,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-009-I09,ORD-009,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-009-I10,ORD-009,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-009-I11,ORD-009,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-009-I12,ORD-009,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-009-I13,ORD-009,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-009-I14,ORD-009,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-009-I15,ORD-009,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-009-I16,ORD-009,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-009-I17,ORD-009,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-010-I01,ORD-010,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-010-I02,ORD-010,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-010-I03,ORD-010,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-010-I04,ORD-010,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-010-I05,ORD-010,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-010-I06,ORD-010,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-010-I07,ORD-010,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-010-I08,ORD-010,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-010-I13,ORD-010,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-010-I14,ORD-010,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-010-I15,ORD-010,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-010-I16,ORD-010,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-010-I17,ORD-010,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-011-I01,ORD-011,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-011-I02,ORD-011,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-011-I03,ORD-011,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-011-I04,ORD-011,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-011-I05,ORD-011,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-011-I06,ORD-011,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-011-I07,ORD-011,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-011-I08,ORD-011,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-011-I13,ORD-011,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-011-I14,ORD-011,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-011-I15,ORD-011,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-011-I16,ORD-011,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-011-I17,ORD-011,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-012-I01,ORD-012,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-012-I02,ORD-012,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-012-I03,ORD-012,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-012-I04,ORD-012,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-012-I05,ORD-012,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-012-I06,ORD-012,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-012-I07,ORD-012,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-012-I08,ORD-012,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-012-I09,ORD-012,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-012-I10,ORD-012,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-012-I11,ORD-012,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-012-I12,ORD-012,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-012-I13,ORD-012,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-012-I14,ORD-012,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-012-I15,ORD-012,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-012-I16,ORD-012,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-012-I17,ORD-012,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-013-I01,ORD-013,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-013-I02,ORD-013,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-013-I03,ORD-013,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-013-I04,ORD-013,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-013-I05,ORD-013,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-013-I06,ORD-013,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-013-I07,ORD-013,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-013-I08,ORD-013,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-013-I09,ORD-013,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-013-I10,ORD-013,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-013-I11,ORD-013,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-013-I12,ORD-013,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-013-I13,ORD-013,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-013-I14,ORD-013,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-013-I15,ORD-013,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-013-I16,ORD-013,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-013-I17,ORD-013,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-014-I01,ORD-014,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-014-I02,ORD-014,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-014-I03,ORD-014,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-014-I04,ORD-014,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-014-I05,ORD-014,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-014-I06,ORD-014,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-014-I07,ORD-014,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-014-I08,ORD-014,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-014-I13,ORD-014,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-014-I14,ORD-014,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-014-I15,ORD-014,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-014-I16,ORD-014,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-014-I17,ORD-014,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-015-I01,ORD-015,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-015-I02,ORD-015,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-015-I03,ORD-015,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-015-I04,ORD-015,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-015-I05,ORD-015,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-015-I06,ORD-015,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-015-I07,ORD-015,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-015-I08,ORD-015,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-015-I13,ORD-015,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-015-I14,ORD-015,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-015-I15,ORD-015,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-015-I16,ORD-015,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-015-I17,ORD-015,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-016-I01,ORD-016,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-016-I02,ORD-016,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-016-I03,ORD-016,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-016-I04,ORD-016,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-016-I05,ORD-016,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-016-I06,ORD-016,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-016-I07,ORD-016,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-016-I08,ORD-016,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-016-I09,ORD-016,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-016-I10,ORD-016,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-016-I11,ORD-016,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-016-I12,ORD-016,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-016-I13,ORD-016,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-016-I14,ORD-016,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-016-I15,ORD-016,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-016-I16,ORD-016,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-016-I17,ORD-016,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-017-I01,ORD-017,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-017-I02,ORD-017,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-017-I03,ORD-017,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-017-I04,ORD-017,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-017-I05,ORD-017,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-017-I06,ORD-017,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-017-I07,ORD-017,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-017-I08,ORD-017,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-017-I13,ORD-017,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-017-I14,ORD-017,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-017-I15,ORD-017,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-017-I16,ORD-017,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-017-I17,ORD-017,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-018-I01,ORD-018,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-018-I02,ORD-018,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-018-I03,ORD-018,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-018-I04,ORD-018,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-018-I05,ORD-018,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-018-I06,ORD-018,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-018-I07,ORD-018,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-018-I08,ORD-018,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-018-I09,ORD-018,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-018-I10,ORD-018,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-018-I11,ORD-018,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-018-I12,ORD-018,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-018-I13,ORD-018,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-018-I14,ORD-018,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-018-I15,ORD-018,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-018-I16,ORD-018,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-018-I17,ORD-018,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-019-I01,ORD-019,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-019-I02,ORD-019,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-019-I03,ORD-019,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-019-I04,ORD-019,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-019-I05,ORD-019,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-019-I06,ORD-019,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-019-I07,ORD-019,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-019-I08,ORD-019,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-019-I13,ORD-019,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
ORD-019-I14,ORD-019,I14,"Botiquin, agua y linterna frontal",PERSONAL,FALSE,
ORD-019-I15,ORD-019,I15,Celular con datos para reportar avance,PERSONAL,FALSE,
ORD-019-I16,ORD-019,I16,Guia de despacho y acta de conformidad del cliente,PERSONAL,FALSE,
ORD-019-I17,ORD-019,I17,Material de capacitacion enviado al cliente ANTES de llegar,PERSONAL,FALSE,
ORD-020-I01,ORD-020,I01,Multimetro y pinza amperimetrica calibrados,BOLSO,FALSE,
ORD-020-I02,ORD-020,I02,"Crimpeadora, conectores RJ45 y tester de red",BOLSO,FALSE,
ORD-020-I03,ORD-020,I03,"Kit de fibra optica: fusionadora, pigtails y alcohol isopropilico",BOLSO,FALSE,
ORD-020-I04,ORD-020,I04,"Taladro percutor, brocas y tarugos",BOLSO,FALSE,
ORD-020-I05,ORD-020,I05,Set de destornilladores aislados y llaves ajustables,BOLSO,FALSE,
ORD-020-I06,ORD-020,I06,"Amarras, cinta aisladora y canaletas",BOLSO,FALSE,
ORD-020-I07,ORD-020,I07,Equipo de reemplazo ONT/router y repuestos menores,BOLSO,FALSE,
ORD-020-I08,ORD-020,I08,Notebook con software de puesta en marcha y respaldo de configuraciones,BOLSO,FALSE,
ORD-020-I09,ORD-020,I09,Escalera telescopica,VEHICULO,FALSE,
ORD-020-I10,ORD-020,I10,"Extension electrica, conos y senaletica",VEHICULO,FALSE,
ORD-020-I11,ORD-020,I11,"Documentos del vehiculo: permiso de circulacion, revision tecnica, seguro y TAG",VEHICULO,FALSE,
ORD-020-I12,ORD-020,I12,Tarjeta corporativa de combustible,VEHICULO,FALSE,
ORD-020-I13,ORD-020,I13,"EPP: casco, guantes dielectricos, lentes, zapatos de seguridad y arnes",PERSONAL,FALSE,
